nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 8760
Workers: 8 (Recycle every 10 tasks)
[2941/8760] 2025-05-03 19:00 -> AWS: Exists | JAXA: N/A
[2961/8760] 2025-05-04 15:00 -> AWS: Exists | JAXA: N/A
[2981/8760] 2025-05-05 11:00 -> AWS: Exists | JAXA: N/A
[3001/8760] 2025-05-06 00:00 -> AWS: Exists | JAXA: Exists
[3021/8760] 2025-05-06 06:00 -> AWS: Exists | JAXA: Exists
[3041/8760] 2025-05-07 23:00 -> AWS: Exists | JAXA: N/A
[3061/8760] 2025-05-08 19:00 -> AWS: Exists | JAXA: N/A
[3081/8760] 2025-05-09 15:00 -> AWS: Exists | JAXA: N/A
[3101/8760] 2025-05-10 11:00 -> AWS: Exists | JAXA: N/A
[3121/8760] 2025-05-11 00:00 -> AWS: Exists | JAXA: Exists
[3141/8760] 2025-05-11 06:00 -> AWS: Exists | JAXA: Exists
[3161/8760] 2025-05-12 23:00 -> AWS: Exists | JAXA: N/A
[3181/8760] 2025-05-13 19:00 -> AWS: Exists | JAXA: N/A
[3201/8760] 2025-05-14 15:00 -> AWS: Exists | JAXA: N/A
[3221/8760] 2025-05-15 11:00 -> AWS: Exists | JAXA: N/A
[3241/8760] 2025-05-16 00:00 -> AWS: Exists | JAXA: Exists
[3261/8760] 2025-05-16 05:00 -> AWS: Exists | JAXA: Success
[3281/8760] 2025-05-17 23:00 -> AWS: Exists | JAXA: N/A
[3301/8760] 2025-05-18 19:00 -> AWS: Exists | JAXA: N/A
[3321/8760] 2025-05-19 15:00 -> AWS: Exists | JAXA: N/A
[3341/8760] 2025-05-20 11:00 -> AWS: Exists | JAXA: N/A
[3361/8760] 2025-05-21 00:00 -> AWS: Exists | JAXA: Exists
[3381/8760] 2025-05-21 06:00 -> AWS: Exists | JAXA: Exists
[3401/8760] 2025-05-22 23:00 -> AWS: Exists | JAXA: N/A
[3421/8760] 2025-05-23 19:00 -> AWS: Exists | JAXA: N/A
[3441/8760] 2025-05-24 15:00 -> AWS: Exists | JAXA: N/A
[3461/8760] 2025-05-25 11:00 -> AWS: Exists | JAXA: N/A
[3481/8760] 2025-05-26 00:00 -> AWS: Exists | JAXA: Exists
[3501/8760] 2025-05-26 06:00 -> AWS: Exists | JAXA: Exists
[3521/8760] 2025-05-27 23:00 -> AWS: Exists | JAXA: N/A
[3541/8760] 2025-05-28 19:00 -> AWS: Exists | JAXA: N/A
[3561/8760] 2025-05-29 15:00 -> AWS: Exists | JAXA: N/A
[3581/8760] 2025-05-30 11:00 -> AWS: Exists | JAXA: N/A
[3601/8760] 2025-05-31 00:00 -> AWS: Exists | JAXA: Exists
[3621/8760] 2025-05-31 06:00 -> AWS: Exists | JAXA: Exists
[3641/8760] 2025-06-01 23:00 -> AWS: Exists | JAXA: N/A
[3661/8760] 2025-06-02 19:00 -> AWS: Exists | JAXA: N/A
[3681/8760] 2025-06-03 15:00 -> AWS: Exists | JAXA: N/A
[3701/8760] 2025-06-04 11:00 -> AWS: Exists | JAXA: N/A
[3721/8760] 2025-06-05 00:00 -> AWS: Exists | JAXA: Exists
[3741/8760] 2025-06-05 06:00 -> AWS: Exists | JAXA: Exists
[3761/8760] 2025-06-06 23:00 -> AWS: Exists | JAXA: N/A
[3781/8760] 2025-06-07 19:00 -> AWS: Exists | JAXA: N/A
[3801/8760] 2025-06-08 15:00 -> AWS: Exists | JAXA: N/A
[3821/8760] 2025-06-09 11:00 -> AWS: Exists | JAXA: N/A
[3841/8760] 2025-06-10 00:00 -> AWS: Exists | JAXA: Exists
[3861/8760] 2025-06-10 06:00 -> AWS: Exists | JAXA: Exists
[3881/8760] 2025-06-11 23:00 -> AWS: Exists | JAXA: N/A
[3901/8760] 2025-06-12 19:00 -> AWS: Exists | JAXA: N/A
[3921/8760] 2025-06-13 15:00 -> AWS: Exists | JAXA: N/A
[3941/8760] 2025-06-14 11:00 -> AWS: Exists | JAXA: N/A
[3961/8760] 2025-06-15 00:00 -> AWS: Exists | JAXA: Exists
[3981/8760] 2025-06-15 06:00 -> AWS: Exists | JAXA: Exists
[4001/8760] 2025-06-16 23:00 -> AWS: Exists | JAXA: N/A
[4021/8760] 2025-06-17 19:00 -> AWS: Exists | JAXA: N/A
[4041/8760] 2025-06-18 15:00 -> AWS: Exists | JAXA: N/A
[4061/8760] 2025-06-19 11:00 -> AWS: Exists | JAXA: N/A
[4081/8760] 2025-06-20 00:00 -> AWS: Exists | JAXA: Exists
[4101/8760] 2025-06-20 06:00 -> AWS: Exists | JAXA: Exists
[4121/8760] 2025-06-21 23:00 -> AWS: Exists | JAXA: N/A
[4141/8760] 2025-06-22 19:00 -> AWS: Exists | JAXA: N/A
[4161/8760] 2025-06-23 15:00 -> AWS: Exists | JAXA: N/A
[4181/8760] 2025-06-24 11:00 -> AWS: Exists | JAXA: N/A
[4201/8760] 2025-06-25 00:00 -> AWS: Exists | JAXA: Exists
[4221/8760] 2025-06-25 06:00 -> AWS: Exists | JAXA: Exists
[4241/8760] 2025-06-26 23:00 -> AWS: Exists | JAXA: N/A
[4261/8760] 2025-06-27 19:00 -> AWS: Exists | JAXA: N/A
[4281/8760] 2025-06-28 15:00 -> AWS: Exists | JAXA: N/A
[4301/8760] 2025-06-29 11:00 -> AWS: Exists | JAXA: N/A
[4321/8760] 2025-06-30 00:00 -> AWS: Exists | JAXA: Exists
[4341/8760] 2025-06-30 06:00 -> AWS: Exists | JAXA: Exists
[4361/8760] 2025-07-01 23:00 -> AWS: Exists | JAXA: N/A
[4381/8760] 2025-07-02 19:00 -> AWS: Exists | JAXA: N/A
[4401/8760] 2025-07-03 15:00 -> AWS: Exists | JAXA: N/A
[4421/8760] 2025-07-04 11:00 -> AWS: Exists | JAXA: N/A
[4441/8760] 2025-07-05 00:00 -> AWS: Exists | JAXA: Exists
[4461/8760] 2025-07-05 06:00 -> AWS: Exists | JAXA: Exists
[4481/8760] 2025-07-06 23:00 -> AWS: Exists | JAXA: N/A
[4501/8760] 2025-07-07 19:00 -> AWS: Exists | JAXA: N/A
[4521/8760] 2025-07-08 15:00 -> AWS: Exists | JAXA: N/A
[4541/8760] 2025-07-09 11:00 -> AWS: Exists | JAXA: N/A
