nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 43848
Workers: 12 (Recycle every 10 tasks)
[3501/43848] 2020-05-25 06:00 -> AWS: Exists | JAXA: Exists
[3521/43848] 2020-05-26 00:00 -> AWS: Exists | JAXA: Exists
[3541/43848] 2020-05-27 23:00 -> AWS: Exists | JAXA: N/A
[3561/43848] 2020-05-28 19:00 -> AWS: Exists | JAXA: N/A
[3581/43848] 2020-05-29 15:00 -> AWS: Exists | JAXA: N/A
[3601/43848] 2020-05-30 11:00 -> AWS: Exists | JAXA: N/A
[3621/43848] 2020-05-30 05:00 -> AWS: Exists | JAXA: Exists
[3641/43848] 2020-05-31 02:00 -> AWS: Exists | JAXA: Exists
[3661/43848] 2020-06-01 23:00 -> AWS: Exists | JAXA: N/A
[3681/43848] 2020-06-02 19:00 -> AWS: Exists | JAXA: N/A
[3701/43848] 2020-06-03 15:00 -> AWS: Exists | JAXA: N/A
[3721/43848] 2020-06-04 11:00 -> AWS: Exists | JAXA: N/A
[3741/43848] 2020-06-04 05:00 -> AWS: Exists | JAXA: Exists
[3761/43848] 2020-06-05 01:00 -> AWS: Exists | JAXA: Exists
[3781/43848] 2020-06-06 23:00 -> AWS: Exists | JAXA: N/A
[3801/43848] 2020-06-07 18:00 -> AWS: Exists | JAXA: N/A
[3821/43848] 2020-06-08 15:00 -> AWS: Exists | JAXA: N/A
[3841/43848] 2020-06-09 11:00 -> AWS: Exists | JAXA: N/A
[3861/43848] 2020-06-09 08:00 -> AWS: Exists | JAXA: Exists
[3881/43848] 2020-06-10 01:00 -> AWS: Exists | JAXA: Exists
[3901/43848] 2020-06-11 23:00 -> AWS: Exists | JAXA: N/A
[3921/43848] 2020-06-12 19:00 -> AWS: Exists | JAXA: N/A
[3941/43848] 2020-06-13 15:00 -> AWS: Exists | JAXA: N/A
[3961/43848] 2020-06-14 11:00 -> AWS: Exists | JAXA: N/A
[3981/43848] 2020-06-14 06:00 -> AWS: Exists | JAXA: Exists
[4001/43848] 2020-06-15 01:00 -> AWS: Exists | JAXA: Exists
[4021/43848] 2020-06-16 23:00 -> AWS: Exists | JAXA: N/A
[4041/43848] 2020-06-17 19:00 -> AWS: Exists | JAXA: N/A
[4061/43848] 2020-06-18 15:00 -> AWS: Exists | JAXA: N/A
[4081/43848] 2020-06-19 00:00 -> AWS: Exists | JAXA: Exists
[4101/43848] 2020-06-19 08:00 -> AWS: Exists | JAXA: Exists
[4121/43848] 2020-06-20 02:00 -> AWS: Exists | JAXA: Exists
[4141/43848] 2020-06-21 23:00 -> AWS: Exists | JAXA: N/A
[4161/43848] 2020-06-22 19:00 -> AWS: Exists | JAXA: N/A
[4181/43848] 2020-06-23 15:00 -> AWS: Exists | JAXA: N/A
[4201/43848] 2020-06-24 11:00 -> AWS: Exists | JAXA: N/A
[4221/43848] 2020-06-24 07:00 -> AWS: Exists | JAXA: Exists
[4241/43848] 2020-06-25 04:00 -> AWS: Exists | JAXA: Exists
[4261/43848] 2020-06-26 23:00 -> AWS: Exists | JAXA: N/A
[4281/43848] 2020-06-27 19:00 -> AWS: Exists | JAXA: N/A
[4301/43848] 2020-06-28 15:00 -> AWS: Exists | JAXA: N/A
[4321/43848] 2020-06-29 11:00 -> AWS: Exists | JAXA: N/A
[4341/43848] 2020-06-29 06:00 -> AWS: Exists | JAXA: Exists
[4361/43848] 2020-06-30 02:00 -> AWS: Exists | JAXA: Exists
[4381/43848] 2020-07-01 23:00 -> AWS: Exists | JAXA: N/A
[4401/43848] 2020-07-02 19:00 -> AWS: Exists | JAXA: N/A
[4421/43848] 2020-07-03 15:00 -> AWS: Exists | JAXA: N/A
[4441/43848] 2020-07-04 11:00 -> AWS: Exists | JAXA: N/A
[4461/43848] 2020-07-04 03:00 -> AWS: Exists | JAXA: Exists
[4481/43848] 2020-07-05 03:00 -> AWS: Exists | JAXA: Exists
[4501/43848] 2020-07-06 23:00 -> AWS: Exists | JAXA: N/A
[4521/43848] 2020-07-07 19:00 -> AWS: Exists | JAXA: N/A
[4541/43848] 2020-07-08 15:00 -> AWS: Exists | JAXA: N/A
[4561/43848] 2020-07-09 11:00 -> AWS: Exists | JAXA: N/A
[4581/43848] 2020-07-09 06:00 -> AWS: Exists | JAXA: Exists
[4601/43848] 2020-07-10 04:00 -> AWS: Exists | JAXA: Exists
[4621/43848] 2020-07-11 23:00 -> AWS: Exists | JAXA: N/A
[4641/43848] 2020-07-12 19:00 -> AWS: Exists | JAXA: N/A
[4661/43848] 2020-07-13 15:00 -> AWS: Exists | JAXA: N/A
[4681/43848] 2020-07-14 11:00 -> AWS: Exists | JAXA: N/A
[4701/43848] 2020-07-14 06:00 -> AWS: Exists | JAXA: Exists
[4721/43848] 2020-07-15 01:00 -> AWS: Exists | JAXA: Exists
[4741/43848] 2020-07-16 23:00 -> AWS: Exists | JAXA: N/A
[4761/43848] 2020-07-17 19:00 -> AWS: Exists | JAXA: N/A
[4781/43848] 2020-07-18 15:00 -> AWS: Exists | JAXA: N/A
[4801/43848] 2020-07-19 11:00 -> AWS: Exists | JAXA: N/A
[4821/43848] 2020-07-19 08:00 -> AWS: Exists | JAXA: Exists
[4841/43848] 2020-07-20 05:00 -> AWS: Exists | JAXA: Exists
[4861/43848] 2020-07-21 23:00 -> AWS: Exists | JAXA: N/A
[4881/43848] 2020-07-22 18:00 -> AWS: Exists | JAXA: N/A
[4901/43848] 2020-07-23 15:00 -> AWS: Exists | JAXA: N/A
[4921/43848] 2020-07-24 11:00 -> AWS: Exists | JAXA: N/A
[4941/43848] 2020-07-24 07:00 -> AWS: Exists | JAXA: Exists
[4961/43848] 2020-07-25 03:00 -> AWS: Exists | JAXA: Exists
[4981/43848] 2020-07-26 23:00 -> AWS: Exists | JAXA: N/A
[5001/43848] 2020-07-27 19:00 -> AWS: Exists | JAXA: N/A
[5021/43848] 2020-07-28 15:00 -> AWS: Exists | JAXA: N/A
[5041/43848] 2020-07-29 11:00 -> AWS: Exists | JAXA: N/A
[5061/43848] 2020-07-29 06:00 -> AWS: Exists | JAXA: Exists
[5081/43848] 2020-07-30 01:00 -> AWS: Exists | JAXA: Exists
[5101/43848] 2020-07-31 23:00 -> AWS: Exists | JAXA: N/A
[5121/43848] 2020-08-01 19:00 -> AWS: Exists | JAXA: N/A
[5141/43848] 2020-08-02 15:00 -> AWS: Exists | JAXA: N/A
[5161/43848] 2020-08-03 11:00 -> AWS: Exists | JAXA: N/A
[5181/43848] 2020-08-03 06:00 -> AWS: Exists | JAXA: Exists
[5201/43848] 2020-08-04 05:00 -> AWS: Exists | JAXA: Exists
[5221/43848] 2020-08-05 23:00 -> AWS: Exists | JAXA: N/A
[5241/43848] 2020-08-06 19:00 -> AWS: Exists | JAXA: N/A
[5261/43848] 2020-08-07 15:00 -> AWS: Exists | JAXA: N/A
[5281/43848] 2020-08-08 11:00 -> AWS: Exists | JAXA: N/A
[5301/43848] 2020-08-08 06:00 -> AWS: Exists | JAXA: Exists
[5321/43848] 2020-08-09 02:00 -> AWS: Exists | JAXA: Exists
[5341/43848] 2020-08-10 23:00 -> AWS: Exists | JAXA: N/A
[5361/43848] 2020-08-11 19:00 -> AWS: Exists | JAXA: N/A
[5381/43848] 2020-08-12 15:00 -> AWS: Exists | JAXA: N/A
[5401/43848] 2020-08-13 11:00 -> AWS: Exists | JAXA: N/A
[5421/43848] 2020-08-13 08:00 -> AWS: Exists | JAXA: Exists
[5441/43848] 2020-08-14 04:00 -> AWS: Exists | JAXA: Exists
[5461/43848] 2020-08-15 23:00 -> AWS: Exists | JAXA: N/A
[5481/43848] 2020-08-16 19:00 -> AWS: Exists | JAXA: N/A
[5501/43848] 2020-08-17 15:00 -> AWS: Exists | JAXA: N/A
[5521/43848] 2020-08-18 11:00 -> AWS: Exists | JAXA: N/A
[5541/43848] 2020-08-18 07:00 -> AWS: Exists | JAXA: Exists
[5561/43848] 2020-08-19 01:00 -> AWS: Exists | JAXA: Exists
[5581/43848] 2020-08-20 23:00 -> AWS: Exists | JAXA: N/A
[5601/43848] 2020-08-21 19:00 -> AWS: Exists | JAXA: N/A
[5621/43848] 2020-08-22 15:00 -> AWS: Exists | JAXA: N/A
[5641/43848] 2020-08-23 11:00 -> AWS: Exists | JAXA: N/A
[5661/43848] 2020-08-23 04:00 -> AWS: Exists | JAXA: Exists
[5681/43848] 2020-08-24 02:00 -> AWS: Exists | JAXA: Exists
[5701/43848] 2020-08-25 23:00 -> AWS: Exists | JAXA: N/A
[5721/43848] 2020-08-26 19:00 -> AWS: Exists | JAXA: N/A
[5741/43848] 2020-08-27 00:00 -> AWS: Exists | JAXA: Exists
[5761/43848] 2020-08-28 11:00 -> AWS: Exists | JAXA: N/A
[5781/43848] 2020-08-28 07:00 -> AWS: Exists | JAXA: Exists
[5801/43848] 2020-08-29 04:00 -> AWS: Exists | JAXA: Exists
[5821/43848] 2020-08-30 22:00 -> AWS: Exists | JAXA: N/A
[5841/43848] 2020-08-31 19:00 -> AWS: Exists | JAXA: N/A
[5861/43848] 2020-09-01 15:00 -> AWS: Exists | JAXA: N/A
[5881/43848] 2020-09-02 11:00 -> AWS: Exists | JAXA: N/A
[5901/43848] 2020-09-02 06:00 -> AWS: Exists | JAXA: Exists
[5921/43848] 2020-09-03 00:00 -> AWS: Exists | JAXA: Exists
[5941/43848] 2020-09-04 23:00 -> AWS: Exists | JAXA: N/A
[5961/43848] 2020-09-05 19:00 -> AWS: Exists | JAXA: N/A
[5981/43848] 2020-09-06 15:00 -> AWS: Exists | JAXA: N/A
[6001/43848] 2020-09-07 11:00 -> AWS: Exists | JAXA: N/A
[6021/43848] 2020-09-07 07:00 -> AWS: Exists | JAXA: Exists
[6041/43848] 2020-09-08 03:00 -> AWS: Exists | JAXA: Exists
[6061/43848] 2020-09-09 23:00 -> AWS: Exists | JAXA: N/A
[6081/43848] 2020-09-10 19:00 -> AWS: Exists | JAXA: N/A
[6101/43848] 2020-09-11 15:00 -> AWS: Exists | JAXA: N/A
[6121/43848] 2020-09-12 11:00 -> AWS: Exists | JAXA: N/A
[6141/43848] 2020-09-10 23:00 -> AWS: Missing | JAXA: N/A
[6161/43848] 2020-09-13 02:00 -> AWS: Exists | JAXA: Exists
[6181/43848] 2020-09-14 23:00 -> AWS: Exists | JAXA: N/A
[6201/43848] 2020-09-15 19:00 -> AWS: Exists | JAXA: N/A
[6221/43848] 2020-09-16 15:00 -> AWS: Exists | JAXA: N/A
[6241/43848] 2020-09-17 11:00 -> AWS: Exists | JAXA: N/A
[6261/43848] 2020-09-17 05:00 -> AWS: Exists | JAXA: Exists
[6281/43848] 2020-09-18 00:00 -> AWS: Exists | JAXA: Exists
[6301/43848] 2020-09-19 23:00 -> AWS: Exists | JAXA: N/A
[6321/43848] 2020-09-20 19:00 -> AWS: Exists | JAXA: N/A
[6341/43848] 2020-09-21 15:00 -> AWS: Exists | JAXA: N/A
[6361/43848] 2020-09-22 11:00 -> AWS: Exists | JAXA: N/A
[6381/43848] 2020-09-22 07:00 -> AWS: Exists | JAXA: Exists
[6401/43848] 2020-09-23 03:00 -> AWS: Exists | JAXA: Exists
[6421/43848] 2020-09-24 23:00 -> AWS: Exists | JAXA: N/A
[6441/43848] 2020-09-25 18:00 -> AWS: Exists | JAXA: N/A
[6461/43848] 2020-09-26 15:00 -> AWS: Exists | JAXA: N/A
[6481/43848] 2020-09-27 11:00 -> AWS: Exists | JAXA: N/A
[6501/43848] 2020-09-27 06:00 -> AWS: Exists | JAXA: Exists
[6521/43848] 2020-09-28 03:00 -> AWS: Exists | JAXA: Exists
[6541/43848] 2020-09-29 23:00 -> AWS: Exists | JAXA: N/A
[6561/43848] 2020-09-30 19:00 -> AWS: Exists | JAXA: N/A
[6581/43848] 2020-10-01 15:00 -> AWS: Exists | JAXA: N/A
